Days,Average_DMI,Energy_density_of_feed,Average_number_of_heads,Global_emission_Ton_CO2e
132,24.920561775861707,17.14154183891623,366.1459040274343,446.9131164269619
300,26.175201208546703,14.693840997627145,132.8663995979194,375.2634346490217
136,17.61827084507985,22.49320157988317,148.40058909658063,173.12882864316387
101,17.753611192053512,14.333749233056567,288.3286290584962,79.3972551159313
218,17.519498025808847,23.44431990371308,55.76618610807102,105.75747844271194
50,15.994850950480835,18.20775585469313,147.87271173422317,52.73306272143422
132,19.599278799602434,19.148653425327485,150.96749215745655,234.628101430941
151,24.198095027198086,23.787485092982227,295.08828297939,595.2083853855528
244,23.257152328036586,15.961685572156256,227.5179243626242,445.687550580385
360,25.70415156713348,22.443900132647144,71.37128789410099,216.20382108188375
117,18.62463927522917,21.4445298225997,200.11645378027953,286.60398120925356
129,21.438850272817707,19.4211555913029,396.9560383807278,356.8112789666819
181,23.964961429569207,22.1328390177096,362.80533748514335,797.7482574069065
160,25.676252953121782,18.682091730725826,335.5869066217855,594.6531350908467
179,25.332806055869504,17.437664946824036,266.8542991203924,416.3501503898718
338,20.051728727584454,15.161669629078254,94.3817576519103,215.32517335637831
287,25.789151837902118,21.677891204280755,364.6929415675857,1300.8369499994192
323,19.772724870807863,26.481643970263175,175.92946157756757,630.0200753669262
221,25.7368188338545,24.473671353722217,109.58884073893815,299.63551213813406
306,24.10062048963118,15.223479401776101,98.21976728338632,290.6760071084725
190,16.88142298850419,16.852787362512867,346.5496096723211,361.3975795937904
343,26.085679763990427,22.44196256269108,272.14822111082447,1215.8547371634595
51,17.152039682139606,14.026627115786441,87.64175361503061,39.70209559755499
282,25.809459508351033,21.320342441452002,346.94237905292016,1132.2972503556741
265,21.9964179028376,26.661784939744955,139.38959829714173,521.5232387876933
78,22.675889393608543,18.57758891427362,259.4011417394901,158.83896490421995
88,15.421335279230599,25.61589217103753,386.1552488682592,127.339805300824
199,14.854633369709862,15.401636455317174,326.5773025069623,363.89787811117935
217,26.58843331642398,14.604211458134845,285.48365068810443,458.73502705178487
300,18.38006043443451,18.515386661475237,319.4237193554545,727.1041370546527
219,24.976824562562246,21.5243549321135,238.53521321001358,631.7134925925363
204,23.15818085247125,24.849406004435277,192.55407225703345,326.51365832854015
80,21.853798954994605,16.40984015129468,56.10539573917779,-45.89847947190391
84,22.907729377469153,17.400152349893016,50.044298112062144,-47.190109856002
273,15.162033212748932,20.224730892917236,374.26468684099115,617.7113800463751
349,19.361138202079022,18.49631217919009,85.71961832233899,327.68662422778186
160,21.8919930778132,14.056155154919766,259.2238465723917,245.96081973715252
336,25.278318413769064,18.29746801469898,248.5350147118265,912.5462559992081
164,23.290935544816048,17.3900121839783,260.21746689243105,354.64577797795755
50,17.28649446657629,20.56630886681396,226.84187731819975,55.348798594726865
358,26.804041768581783,15.50861658478227,381.24052367115087,1340.0804693797602
196,22.35947568066201,22.905847119917617,172.44233509584515,371.1378868445989
303,20.51711603521639,17.822729981562723,157.61871572954504,307.0658047902595
118,24.157924576928643,16.98857003670972,177.32219385336046,220.44423484324972
345,21.83510525817435,17.959704245234636,122.16372971909429,328.01906141756035
43,23.229851100191386,19.97149563378843,302.9707885145307,211.6316265876393
271,22.022732110229185,25.53894021077602,171.23263854375568,645.8628921440538
294,16.32489431501322,22.93614616029445,71.71265720234332,205.8818901283207
82,21.06362879088918,16.30590809523033,90.89149394695188,-12.92165085029422
121,17.680314995370697,22.744520722950384,319.3184109278877,327.8733510930773
293,21.41374978772462,15.990769568666355,83.76194265923186,139.644915518513
64,15.631546068921619,18.142140201284192,124.3550634948265,-31.83522978767087
235,17.015554862328997,20.020833192926002,181.38688228585147,353.96584608486575
110,24.513393714839935,22.27004240828152,327.7919795422814,404.0617532425732
79,19.26851706732214,20.111030454807327,76.5159135520357,20.973529510720383
31,22.759203513384257,21.58596568280223,118.19351652171014,-79.67530883475409
83,20.47203038386249,22.87587485872516,119.64086252984181,-17.4103941401997
135,18.42906412750096,26.50230306529516,212.8329759574233,272.80499685411814
289,20.437278255408906,25.775461665793298,190.9821507681573,618.587514226663
339,24.57810190522585,20.585123875959145,331.93335968068203,1320.2941923328283
220,17.660808628933516,23.656327297446428,146.80137519972956,249.83091163625193
247,19.478766954937015,19.70355736284135,94.09945126638294,226.8196601540551
73,16.633582697835234,26.558504141989346,133.39546704266007,-27.396706945207555
191,18.56545655609042,15.01004368038816,160.16584657358933,189.44366629614717
231,25.506426217569846,16.66752826459313,255.72789104724117,486.16176826507973
299,24.214392657710633,17.36100010393322,185.29728061587633,417.6097416599694
333,18.85699880566196,17.665323414241,127.4639391413239,323.90184554351697
300,15.721129592810039,17.57057627507139,88.07989893885741,66.54368213786154
244,19.45961031069641,21.859867919725552,255.63433872502824,497.9192758382218
281,24.032391273035444,25.61893408789399,378.1557662118721,1465.363423386814
219,14.569412960452455,14.874709533592435,122.79383757025386,150.04033597692336
325,23.689428853477214,24.81663035632183,94.0346373402015,386.1881798657505
242,22.838829100516584,17.902452659065897,367.6774731383861,888.8341602248857
237,14.840436252342034,21.661037931120674,258.41946694632804,499.58401722873054
266,22.263323761001136,22.563781887881003,176.3169526890386,507.8102681578453
82,17.882526010597715,21.30472181106041,70.88099656585477,-5.480077973890651
309,16.304709164346495,15.225987937208052,315.17514983241455,594.7607650837479
246,19.003465366808918,20.290934710221627,301.3095473025712,551.7785548611834
281,16.670040888820168,14.816317514158794,364.11348321024633,609.3090436972212
217,24.719226418845224,14.033522604681359,248.87151029402887,386.3483607494568
70,23.646006575661428,16.62219698166402,161.33300721695747,70.70105093814125
186,26.74978835525613,17.86693164539046,108.79893960895734,136.2153086510676
